Document_No,Dominant_Topic,media,political elite,other,public
7903,2.0,0,0,0,1
9178,2.0,0,0,0,1
405,3.0,0,0,0,1
406,3.0,0,0,0,1
407,3.0,0,0,0,1
408,3.0,0,0,0,1
409,4.0,0,0,0,1
4814,3.0,0,0,0,1
5933,3.0,0,0,0,1
12418,2.0,0,0,0,1
410,1.0,0,0,0,1
411,3.0,0,0,0,1
412,3.0,0,0,0,1
413,3.0,0,0,0,1
414,3.0,0,0,0,1
415,3.0,0,0,0,1
416,3.0,0,0,0,1
417,3.0,0,0,0,1
418,3.0,0,0,0,1
7769,3.0,0,0,0,1
7776,0.0,0,0,0,1
419,3.0,0,0,0,1
420,3.0,0,0,0,1
421,3.0,0,0,0,1
740,3.0,0,0,0,1
6942,3.0,0,0,0,1
422,3.0,0,0,0,1
423,0.0,0,0,0,1
3007,4.0,0,0,0,1
3985,0.0,0,0,0,1
4363,0.0,0,0,0,1
4991,3.0,0,0,0,1
8493,0.0,0,0,0,1
8494,0.0,0,0,0,1
10545,2.0,0,0,0,1
424,3.0,0,0,0,1
425,3.0,0,0,0,1
10663,3.0,0,0,0,1
426,1.0,0,0,0,1
3993,4.0,0,0,0,1
427,3.0,0,0,0,1
428,3.0,0,0,0,1
429,1.0,0,0,0,1
430,3.0,0,0,0,1
10985,2.0,0,0,0,1
431,3.0,0,0,0,1
6081,3.0,0,0,0,1
432,3.0,0,0,0,1
1307,3.0,0,0,0,1
7995,3.0,0,0,0,1
434,3.0,0,0,0,1
435,3.0,0,0,0,1
10666,1.0,0,0,0,1
436,1.0,0,0,0,1
437,1.0,0,0,0,1
1687,0.0,0,0,0,1
438,3.0,0,0,0,1
439,3.0,0,0,0,1
1704,1.0,0,0,0,1
440,3.0,0,0,0,1
441,3.0,0,0,0,1
442,3.0,0,0,0,1
443,3.0,0,0,0,1
444,3.0,0,0,0,1
445,3.0,0,0,0,1
446,3.0,0,0,0,1
491,1.0,0,0,0,1
12018,3.0,0,0,0,1
447,3.0,0,0,0,1
448,3.0,0,0,0,1
449,3.0,0,0,0,1
2499,4.0,0,0,0,1
450,3.0,0,0,0,1
451,3.0,0,0,0,1
453,1.0,0,0,0,1
455,3.0,0,0,0,1
456,3.0,0,0,0,1
8955,3.0,0,0,0,1
457,3.0,0,0,0,1
458,3.0,0,0,0,1
459,3.0,0,0,0,1
5541,3.0,0,0,0,1
460,3.0,0,0,0,1
461,3.0,0,0,0,1
1847,4.0,0,0,0,1
7021,1.0,0,0,0,1
462,3.0,0,0,0,1
463,0.0,0,0,0,1
464,4.0,0,0,0,1
4622,3.0,0,0,0,1
6886,3.0,0,0,0,1
7125,3.0,0,0,0,1
465,3.0,0,0,0,1
466,3.0,0,0,0,1
467,3.0,0,0,0,1
468,3.0,0,0,0,1
469,3.0,0,0,0,1
10136,0.0,0,0,0,1
470,3.0,0,0,0,1
471,3.0,0,0,0,1
546,1.0,0,0,0,1
1852,3.0,0,0,0,1
472,1.0,0,0,0,1
473,3.0,0,0,0,1
9141,3.0,0,0,0,1
474,3.0,0,0,0,1
475,3.0,0,0,0,1
4360,3.0,0,0,0,1
476,3.0,0,0,0,1
479,3.0,0,0,0,1
489,3.0,0,0,0,1
477,3.0,0,0,0,1
5511,3.0,0,0,0,1
480,3.0,0,0,0,1
4952,3.0,0,0,0,1
481,3.0,0,0,0,1
482,3.0,0,0,0,1
483,3.0,0,0,0,1
484,3.0,0,0,0,1
485,3.0,0,0,0,1
10449,3.0,0,0,0,1
486,3.0,0,0,0,1
793,3.0,0,0,0,1
487,3.0,0,0,0,1
488,3.0,0,0,0,1
490,3.0,0,0,0,1
5884,3.0,0,0,0,1
6684,3.0,0,0,0,1
492,3.0,0,0,0,1
493,1.0,0,0,0,1
5165,3.0,0,0,0,1
494,3.0,0,0,0,1
495,0.0,0,0,0,1
496,2.0,0,0,0,1
497,3.0,0,0,0,1
5349,3.0,0,0,0,1
498,3.0,0,0,0,1
499,3.0,0,0,0,1
10551,3.0,0,0,0,1
500,3.0,0,0,0,1
501,3.0,0,0,0,1
10734,0.0,0,0,0,1
502,3.0,0,0,0,1
503,1.0,0,0,0,1
1380,4.0,0,0,0,1
504,3.0,0,0,0,1
4080,3.0,0,0,0,1
505,3.0,0,0,0,1
506,1.0,0,0,0,1
507,3.0,0,0,0,1
508,3.0,0,0,0,1
509,4.0,0,0,0,1
510,3.0,0,0,0,1
511,3.0,0,0,0,1
512,3.0,0,0,0,1
5359,3.0,0,0,0,1
513,3.0,0,0,0,1
